A,B,C,D,E
41.64,11.12,27.25,26.46,59.07
41.51,11.02,27.58,26.79,58.71
#N/A,#N/A,#N/A,#N/A,#N/A
42.22,11.21,27.47,26.93,59.07
42.98,11.31,27.25,26.75,60.38
42.73,11.21,27.25,26.24,59.29
42.66,11.15,27.47,26.02,58.05
42.85,11.15,27.91,26.53,58.27
42.47,10.92,27.58,25.99,57.32
42.47,10.95,29.45,26.17,57.61
42.73,10.92,31.42,25.95,58.56
42.73,10.98,33.07,25.99,59.07
40.69,10.65,31.31,25.15,56.96
40.94,10.75,33.4,25.3,59.44
41.39,10.75,33.84,26.21,62.35
40.94,10.69,33.84,26.46,62.21
40.69,10.65,34.06,27.41,61.33
42.73,11.05,33.95,27.48,62.28
42.85,10.95,33.07,27.12,61.99
42.53,10.79,34.17,26.64,61.99
41.9,10.59,33.84,26.97,61.19
42.22,10.52,33.18,26.64,60.68
41.26,10.39,33.73,26.86,59.14
41.32,10.29,33.51,26.61,60.02
39.86,9.67,32.96,25.48,58.49
39.47,9.7,32.19,24.39,56.88
39.28,9.73,31.53,24.6,57.61
39.6,9.87,33.62,25,59.36
38.84,9.93,32.96,24.24,59.66
38.9,9.8,33.18,23.95,57.9
39.79,10.06,33.62,24.6,58.34
39.79,10,33.84,24.9,58.34
39.54,9.8,32.52,23.8,57.03
39.47,9.67,31.97,22.89,55.79
38.58,9.5,31.21,22.46,54.62
36.48,9.21,30,22.13,52.95
36.29,9.21,28.9,21.87,51.34
36.09,9.41,29.89,22.42,53.82
33.73,9.08,27.91,21.69,51.41
32.01,9.21,29.78,21.58,51.85
32.84,9.27,30.55,22.09,55.06
33.16,9.44,30.55,22.53,56.81
33.73,9.93,31.1,22.89,57.54
32.91,9.73,30.55,22.53,56.88
32.33,9.47,29.78,21.77,55.43
33.16,9.8,30.88,22.42,56.52
33.1,9.64,30.88,22.35,56.37
32.27,9.34,30.11,21.58,54.7
32.33,9.21,30.99,21.4,52.07
31.63,9.08,30.11,20.82,48.93
32.4,9.17,30.33,21.47,49.74
33.42,9.41,31.1,22.13,50.39
34.44,9.57,31.1,22.46,50.9
34.75,9.67,31.1,22.78,50.61
#N/A,#N/A,#N/A,#N/A,#N/A
35.39,9.87,31.42,22.82,50.76
34.95,9.83,31.64,22.46,50.76
35.65,9.9,31.75,22.71,52.36
35.14,9.83,32.08,22.46,52.07
34.31,9.73,31.86,22.06,51.85
34.31,9.6,31.42,22.09,53.53
33.1,9.44,30.33,22.17,51.63
33.86,9.47,29.89,22.02,51.12
33.16,9.37,29.45,21.47,50.61
32.97,9.44,28.79,20.96,51.05
32.2,9.24,28.24,20.67,49.52
32.52,9.27,28.35,20.71,49.66
33.03,9.41,28.35,21.18,50.61
34.24,9.57,30.11,21.47,51.85
35.07,9.67,29.23,21.36,52.14
35.07,9.67,29.34,22.35,52
35.9,9.77,29.34,22.64,51.78
35.71,9.77,29.23,22.82,52.87
35.98,9.8,29.45,22.31,54.04
37.3,10.11,29.45,22.67,55.86
38.29,10.04,29.56,22.17,54.91
38.75,10.08,29.01,21.8,53.16
37.89,10.01,28.57,21.33,53.6
38.02,10.04,29.01,21.8,55.79
38.09,10.08,30.66,21.62,57.25
37.63,9.97,30.44,21.33,56.01
38.15,9.97,32.19,21.84,55.06
38.09,10.08,32.96,22.42,54.11
36.17,10.04,32.41,22.27,52.51
36.77,9.94,31.31,22.42,51.92
37.69,9.84,31.1,22.46,52.14
37.23,9.67,31.42,22.09,52.58
37.89,9.87,31.31,22.38,53.6
38.22,9.8,31.21,22.57,53.16
38.62,9.74,31.31,21.98,53.6
38.29,9.8,30.77,21.87,54.33
38.88,9.77,30.99,22.2,55.21
39.54,9.84,30.88,22.49,54.77
39.34,9.77,30.33,22.09,53.75
39.67,9.7,30.44,21.98,53.24
39.08,9.6,30.11,21.55,53.97
39.67,9.6,31.1,21.58,55.13
39.67,9.53,30.88,21.4,54.11
39.61,9.46,30.88,21.07,53.6
39.61,9.43,31.31,21,53.75
39.94,9.5,30.55,21.18,55.28
39.94,9.43,30.11,21.04,54.62
40.66,9.36,30.66,20.6,53.97
40.73,9.19,30.33,20.38,54.33
39.67,8.92,29.67,19.87,52.73
40.53,9.02,29.45,20.13,52.58
40.6,8.89,29.23,20.35,52.14
40.93,8.89,28.57,20.35,53.38
40.79,8.85,27.58,20.13,51.63
40.93,8.82,28.24,20.02,52
41.52,8.99,27.58,20.27,52.51
41.39,9.09,28.35,21.26,53.75
41.65,9.06,28.24,21.11,53.38
41.98,8.95,28.79,21.07,52.8
42.18,9.02,28.13,21.15,52.58
42.25,9.02,28.46,21.87,53.02
42.84,9.12,28.57,22.13,52.29
44.23,9.33,28.79,22.24,52
44.03,9.5,28.79,22.17,52.14
44.09,9.43,28.57,22.42,52.74
44.16,9.33,28.57,22.24,53.04
44.36,9.4,28.35,22.27,52.89
44.62,9.36,28.35,22.27,52.59
44.82,9.43,28.57,22.27,54.47
#N/A,#N/A,#N/A,#N/A,#N/A
44.89,9.43,28.57,22.6,54.47
44.82,9.33,28.35,22.13,53.64
45.08,9.36,28.46,22.2,53.27
45.15,9.36,28.46,22.71,53.72
44.75,9.36,29.67,23.88,54.47
45.15,9.43,29.56,23.58,54.02
45.22,9.43,28.57,23.8,53.72
44.56,9.4,28.57,23.18,53.49
43.83,9.33,28.46,23.04,53.34
43.83,9.46,28.46,23.4,54.39
43.7,9.46,28.46,23.26,54.39
43.43,9.5,28.46,22.35,54.17
42.44,9.46,28.13,22.06,54.54
41.12,9.26,27.91,21.77,54.09
42.18,9.19,27.91,21.87,56.19
44.03,9.33,28.13,22.31,57.92
44.49,9.29,27.58,22.46,57.4
43.96,9.09,27.25,21.98,57.32
43.57,9.09,27.25,21.91,57.02
44.56,9.23,28.46,21.77,59.95
44.49,9.06,28.02,21.18,60.47
45.02,9.12,28.24,21.44,61.37
45.61,9.43,28.68,21.84,61.9
46.21,9.43,28.35,22.38,61.6
46.21,9.4,28.24,22.38,62.27
45.88,9.84,28.68,22.6,61.75
45.02,9.91,28.68,22.24,61.15
46.21,9.8,29.34,22.35,61.6
46.34,9.84,28.9,22.24,61.07
46.21,9.8,28.68,22.31,60.02
46.47,10.11,28.9,22.53,61.97
47.92,10.49,29.01,22.67,61.97
48.65,10.31,28.35,22.2,63.02
49.18,10.35,28.46,22.31,63.02
48.45,10.35,28.79,22.09,63.47
47.99,10.25,28.57,22.02,63.25
47.13,9.94,28.24,21.66,61.9
46.93,10.11,28.57,21.11,60.85
47.86,10.18,28.35,21.22,60.77
47,10.14,28.35,21.26,61.45
46.47,10.01,28.13,21.18,63.47
46.34,10.01,28.24,21.26,63.4
46.34,10.25,28.57,21.84,64.9
46.01,10.08,28.57,22.2,63.92
46.14,9.97,28.9,21.98,64.9
45.61,10.21,29.12,22.57,68.65
45.35,10.14,28.79,22.17,70.07
44.89,10.28,28.9,22.42,70.07
44.82,10.28,29.12,22.2,70.15
45.81,10.45,29.45,22.27,69.4
45.88,10.96,30,21.98,68.65
46.01,11.17,30.66,21.84,71.28
46.67,11.17,30.77,22.09,76.15
