PRICE,MARKET VALUE,DIVIDEND YIELD,PER,PRICE INDEX,12M FWD DIVIDEND YIELD (%),12 MONTH FORWARD EARN. YIELD,CURRENT EV / 12M FWD EBIT,CURRENT EV / 12M FWD EBITDA,CURRENT EV / 12M FWD SALES,12M FWD FREE CASH FLOW YLD (%),12M FWD NET DEBT / EBITDA,12M FWD NET DEBT / EV,12M FWD PE vs MARKET,12M FWD PE vs SECTOR,12M FWD PRICE/BOOK,ADJUSTMENTFACTOR,ADJUST COEFFICIENT,DIV PAY DATE,EX-DIVID DATE,DIV.PER SHR.,DIV RATE UNADJUST,DIVIDEND TAX IND,DIVIDEND TYPE,DIV RATE UNADJUST,EARNINGS PER SHR,#ERROR,HISTORICAL VOLATILITY 5 YEARS,MARKET VAL BY CO.,#ERROR,ASK PRICE,BID PRICE,PRICE HIGH,PRICE LOW,#ERROR,OPENING PRICE,RETURN IND AS PAID,TOT RETURN IND,TURNOVER BY VALUE,TURNOVER BY VOLUME,UNADJ. PRICE OPEN,UNADJUSTED PRICE,UNADJ. ASK PRICE,UNADJ. BID PRICE,UNADJ. PRICE HIGH,UNADJ. PRICE LOW,UNADJ. VOLUME,VOL WGHTD AV PRICE,BK VAL PS 12M FWD,EV 12M FWD,NET INCOME 12M FWD,PRETAX PRF 12M FWD,ROE 12M FWD,SALES 12M FWD,TURNOVER BY VOLUME,#ERROR,#ERROR,PRICE/EBG2 RATIO,PRICE/EBG1 RATIO,P/CSH FLOW RATIO,PRICE TO BOOK VAL,, (#S), (#T),NUMBER OF SHARES,MARKET VALUE,PRICE INDEX,FREE FLOAT NOSH,#ERROR,TOTAL INTANGIBLE OT ASSETS-NET,TOTAL INVENTORIES,CURRENT ASSETSTOTAL,TOTAL INVENTORIES,CASH & SHORT TERM INVESTMENTS,PLASTICRECEIVABLES(NET),#ERROR,PLASTICSHORT TERM DEBT & CURRENT PORT,PLASTICCURRENT LIABILITIES-TOTAL,PLASTICWORKING CAPITAL,PLASTICLONG TERM DEBT,PLASTICTOTAL DEBT,PLASTICDEFERRED TAXES,#ERROR,PLASTICCOMMON STOCK,PLASTICPREFERRED STOCK,PLASTICTOTAL CAPITAL,PLASTICFUNDS FROM OPERATIONS,PLASTICNET CASH FLOW-OPERATING ACTIVS,PLASTICAMORTIZATION-INTANGIBLE ASSETS,#ERROR,PLASTICCOMMON DIVIDENDS (CASH),PLASTICCASH DIVIDENDS PAIDTOTAL,PLASTICNET PROCEEDS FROM SALE/ISSUE C,PLASTICNET CASH FLOWFINANCING,PLASTICINCREASE/DECREASE IN CASH/SHOR,PLASTICNET SALES OR REVENUES,#ERROR,"PLASTICSELLING, GENERAL & ADMINISTRAT",PLASTICDEPRECIATION/DEPLETION/AMORT,PLASTICAMORTIZATION OF INTANGIBLES,PLASTICAMORTIZATION OF DEFERRED CHARG,PLASTICOPERATING INCOME,PLASTICINTEREST EXPENSE ON DEBT,#ERROR,#ERROR,PLASTICSALARIES & BENEFITS EXPENSES,PLASTICEXTRAORDINARY CREDITPRETAX,PLASTICEXTRAORDINARY CHARGEPRETAX,PLASTICPRETAX INCOME,PLASTICINCOME TAXES,#ERROR,PLASTICNET INC BEFORE EXTRA/PFD DIVS,PLASTICPREFERRED DIVIDEND REQUIREMENT,PLASTICDIVIDENDS PROVIDED/PAID-COMMON,PLASTICEARNINGS BEF INTEREST & TAXES,PLASTICEBIT & DEPRECIATION,PLASTICNET INCOMEBASIC,#ERROR,PLASTICEMPLOYEES,PLASTICFY1 EPS MEAN EST,PLASTICFY2 EPS MEAN EST
41.64,512754.9,1.19,31.3,768.2,4.537,5.932,24.433,19.443,3.065,NA,2.175,0.109,1.21,1.01,2.007,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2926,512754.9,,64.65,64.46,64.65,63.86,,64.26,1551.12,1551.12,762790,11843.3,64.9,65.3,65.3,65.1,65.3,64.5,11726,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.1,1.81,1,64.65,64.65,7852298,1000000,8013.09,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
41.51,511184.5,1.19,31.2,765.9,4.537,5.932,24.364,19.387,3.057,NA,2.175,0.109,1.21,1.01,2.001,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2926,511184.5,,64.55,64.46,64.75,64.36,,64.65,1546.37,1546.37,481848,7455.8,65.3,65.1,65.2,65.1,65.4,65,7382,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.07,1.81,1,64.46,64.46,7852298,1000000,8025.93,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
#N/A,511184.5,1.19,31.2,765.9,4.537,5.932,24.364,19.387,3.057,NA,2.175,0.109,1.21,1.01,2.001,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2926,511184.5,,NA,NA,NA,NA,,NA,1546.37,1546.37,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.07,1.81,1,NA,64.46,7852298,1000000,8025.93,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
42.22,519822.1,1.17,31.7,778.8,4.537,5.932,24.746,19.691,3.105,NA,2.175,0.109,1.21,1.01,2.035,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2925,519822.1,,65.64,65.54,65.94,64.36,,64.46,1572.5,1572.5,1087944,16646.8,65.1,66.2,66.3,66.2,66.6,65,16482,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.21,1.84,1,65.54,65.54,7852298,1000000,8089.65,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
42.98,529244.8,1.15,32.3,792.9,4.537,5.932,25.163,20.023,3.157,NA,2.175,0.109,1.21,1.01,2.072,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2925,529244.8,,66.73,66.63,66.83,65.54,,66.14,1601,1601,833025,12580.5,66.8,67.4,67.4,67.3,67.5,66.2,12456,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.36,1.87,1,66.73,66.73,7852298,1000000,8121.78,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
42.73,526103.9,1.16,32.1,788.2,4.537,5.932,25.024,19.913,3.14,NA,2.175,0.109,1.21,1.01,2.06,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2925,526103.9,,66.34,66.24,67.13,65.84,,65.84,1591.5,1591.5,431508,6497.3,66.5,67,67,66.9,67.8,66.5,6433,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.31,1.86,1,66.34,66.34,7852298,1000000,8057.6,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
42.66,525318.6,1.16,32,787,4.537,5.932,24.989,19.885,3.135,NA,2.175,0.109,1.21,1.01,2.056,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2925,525318.6,,66.34,66.24,66.73,65.84,,65.84,1589.13,1589.13,437388,6595.3,66.5,66.9,67,66.9,67.4,66.5,6530,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.3,1.86,1,66.24,66.24,7852298,1000000,8092.03,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
42.85,527674.4,1.16,32.2,790.6,4.537,5.932,25.093,19.968,3.148,NA,2.175,0.109,1.21,1.01,2.066,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2924,527674.4,,66.53,66.44,66.73,65.84,,66.34,1596.25,1596.25,445888,6724.6,67,67.2,67.2,67.1,67.4,66.5,6658,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.33,1.86,1,66.53,66.53,7852298,1000000,8117.75,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
42.47,522962.9,1.17,31.9,783.5,4.537,5.932,24.885,19.802,3.122,NA,2.175,0.109,1.21,1.01,2.047,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2924,522962.9,,65.94,65.84,66.53,65.45,,66.44,1582,1582,283213,4295.5,67.1,66.6,66.6,66.5,67.2,66.1,4253,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.26,1.85,1,65.94,65.94,7852298,1000000,8029.73,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
42.47,522962.9,1.17,31.9,783.5,4.537,5.932,24.885,19.802,3.122,NA,2.175,0.109,1.21,1.01,2.047,0.9901,NA,NA,NA,0.77,NA,NA,NA,NA,2.07,,0.2923,522962.9,,65.94,65.84,66.14,65.54,,65.94,1582,1582,407070,6179.2,66.6,66.6,66.6,66.5,66.8,66.2,6118,NA,32.21,568591900,29950880,31899490,12.1,180076900,1000,,,NA,NA,8.26,1.85,1,65.94,65.94,7852298,1000000,8097.13,66,,581585,39126130,199763971,39126130,82063176,74551503,,13738127,50599442,149164529,95599874,109338001,1643963,,78522986,0,390661573,63314880,56792373,1477060,,15273637,15273637,0,-19718812,20141973,337785223,,17118779,16512705,1477060,NA,39569045,1957313,,,25816566,28503,75754,50161168,8443464,,40973797,0,36904944,51996544,68509249,40973797,,33710,2.13,3.67
