PRICE,MARKET VALUE,DIVIDEND YIELD,PER,PRICE INDEX,12M FWD DIVIDEND YIELD (%),12 MONTH FORWARD EARN. YIELD,CURRENT EV / 12M FWD EBIT,CURRENT EV / 12M FWD EBITDA,CURRENT EV / 12M FWD SALES,12M FWD FREE CASH FLOW YLD (%),12M FWD NET DEBT / EBITDA,12M FWD NET DEBT / EV,12M FWD PE vs MARKET,12M FWD PE vs SECTOR,12M FWD PRICE/BOOK,ADJUSTMENTFACTOR,ADJUST COEFFICIENT,DIV PAY DATE,EX-DIVID DATE,DIV.PER SHR.,DIV RATE UNADJUST,DIVIDEND TAX IND,DIVIDEND TYPE,DIV RATE UNADJUST,EARNINGS PER SHR,#ERROR,HISTORICAL VOLATILITY 5 YEARS,MARKET VAL BY CO.,#ERROR,ASK PRICE,BID PRICE,PRICE HIGH,PRICE LOW,#ERROR,OPENING PRICE,RETURN IND AS PAID,TOT RETURN IND,TURNOVER BY VALUE,TURNOVER BY VOLUME,UNADJ. PRICE OPEN,UNADJUSTED PRICE,UNADJ. ASK PRICE,UNADJ. BID PRICE,UNADJ. PRICE HIGH,UNADJ. PRICE LOW,UNADJ. VOLUME,VOL WGHTD AV PRICE,BK VAL PS 12M FWD,EV 12M FWD,NET INCOME 12M FWD,PRETAX PRF 12M FWD,ROE 12M FWD,SALES 12M FWD,TURNOVER BY VOLUME,#ERROR,#ERROR,PRICE/EBG2 RATIO,PRICE/EBG1 RATIO,P/CSH FLOW RATIO,PRICE TO BOOK VAL,, (#S), (#T),NUMBER OF SHARES,MARKET VALUE,PRICE INDEX,FREE FLOAT NOSH,#ERROR,TOTAL INTANGIBLE OT ASSETS-NET,TOTAL INVENTORIES,CURRENT ASSETSTOTAL,TOTAL INVENTORIES,CASH & SHORT TERM INVESTMENTS,PLASTICRECEIVABLES(NET),#ERROR,PLASTICSHORT TERM DEBT & CURRENT PORT,PLASTICCURRENT LIABILITIES-TOTAL,PLASTICWORKING CAPITAL,PLASTICLONG TERM DEBT,PLASTICTOTAL DEBT,PLASTICDEFERRED TAXES,#ERROR,PLASTICCOMMON STOCK,PLASTICPREFERRED STOCK,PLASTICTOTAL CAPITAL,PLASTICFUNDS FROM OPERATIONS,PLASTICNET CASH FLOW-OPERATING ACTIVS,PLASTICAMORTIZATION-INTANGIBLE ASSETS,#ERROR,PLASTICCOMMON DIVIDENDS (CASH),PLASTICCASH DIVIDENDS PAIDTOTAL,PLASTICNET PROCEEDS FROM SALE/ISSUE C,PLASTICNET CASH FLOWFINANCING,PLASTICINCREASE/DECREASE IN CASH/SHOR,PLASTICNET SALES OR REVENUES,#ERROR,"PLASTICSELLING, GENERAL & ADMINISTRAT",PLASTICDEPRECIATION/DEPLETION/AMORT,PLASTICAMORTIZATION OF INTANGIBLES,PLASTICAMORTIZATION OF DEFERRED CHARG,PLASTICOPERATING INCOME,PLASTICINTEREST EXPENSE ON DEBT,#ERROR,#ERROR,PLASTICSALARIES & BENEFITS EXPENSES,PLASTICEXTRAORDINARY CREDITPRETAX,PLASTICEXTRAORDINARY CHARGEPRETAX,PLASTICPRETAX INCOME,PLASTICINCOME TAXES,#ERROR,PLASTICNET INC BEFORE EXTRA/PFD DIVS,PLASTICPREFERRED DIVIDEND REQUIREMENT,PLASTICDIVIDENDS PROVIDED/PAID-COMMON,PLASTICEARNINGS BEF INTEREST & TAXES,PLASTICEBIT & DEPRECIATION,PLASTICNET INCOMEBASIC,#ERROR,PLASTICEMPLOYEES,PLASTICFY1 EPS MEAN EST,PLASTICFY2 EPS MEAN EST
71.61,606707.6,6.67,9.4,909,6.351,9.067,22.379,13.416,1.821,5.449,0.888,0.084,0.88,0.93,1.567,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1801,606707.6,,76.5,76.4,71.8,71.05,,71.43,2653.04,2653.04,492022,6449.1,76.3,76.5,76.5,76.4,76.7,75.9,6449.1,76.29,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.1,10.4,NA,NA,9.54,1.61,1,76.5,76.5,7930818,1000000,9919.26,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,605914.4,6.68,9.4,907.8,6.351,9.067,22.35,13.399,1.819,5.456,0.888,0.084,0.88,0.93,1.565,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1803,605914.4,,76.4,76.3,71.61,70.87,,71.15,2649.57,2649.57,341679,4492.8,76,76.4,76.4,76.3,76.5,75.7,4492.8,76.05,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.1,10.4,NA,NA,9.53,1.61,1,76.4,76.4,7930818,1000000,9974.28,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,596397.5,6.78,9.2,893.5,6.351,9.067,22.009,13.195,1.791,5.543,0.888,0.084,0.88,0.93,1.54,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1807,596397.5,,75.3,75.2,70.96,70.4,,70.77,2607.95,2607.95,478211,6338.8,75.6,75.2,75.3,75.2,75.8,75.2,6338.8,75.44,48.83,494395900,53079570,59024670,14.05,343227600,1000,10.9,10.2,NA,NA,9.38,1.59,1,75.2,75.2,7930818,1000000,9775.2,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,597983.6,6.76,9.2,895.9,6.351,9.067,22.066,13.229,1.796,5.528,0.888,0.084,0.88,0.93,1.544,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1811,597983.6,,75.4,75.3,71.24,69.74,,70.21,2614.89,2614.89,408818,5431.4,75,75.4,75.4,75.3,76.1,74.5,5431.4,75.27,48.83,494395900,53079570,59024670,14.05,343227600,1000,10.9,10.3,NA,NA,9.41,1.59,1,75.4,75.4,7930818,1000000,9759.4,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,586880.6,6.89,9.1,879.3,6.351,9.067,21.669,12.991,1.763,5.633,0.888,0.084,0.88,0.93,1.515,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1816,586880.6,,74.1,74,70.02,69.09,,69.27,2566.34,2566.34,558732,7523.7,74,74,74.1,74,74.8,73.8,7523.7,74.26,48.83,494395900,53079570,59024670,14.05,343227600,1000,10.7,10.1,NA,NA,9.23,1.56,1,74,74,7930818,1000000,9520.79,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,595604.5,6.79,9.2,892.3,6.351,9.067,21.981,13.178,1.789,5.55,0.888,0.084,0.88,0.93,1.538,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1819,595604.5,,75.1,75,70.4,69.27,,69.74,2604.48,2604.48,368577,4935.8,74.5,75.1,75.1,75,75.2,74,4935.8,74.67,48.83,494395900,53079570,59024670,14.05,343227600,1000,10.9,10.2,NA,NA,9.37,1.59,1,75.1,75.1,7930818,1000000,9489.18,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,601156,6.73,9.3,900.7,6.351,9.067,22.18,13.297,1.805,5.499,0.888,0.084,0.88,0.93,1.552,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1821,601156,,75.8,75.6,71.24,70.12,,71.15,2628.76,2628.76,326439,4327.4,76,75.8,75.8,75.6,76.1,74.9,4327.4,75.43,48.83,494395900,53079570,59024670,14.05,343227600,1000,11,10.3,NA,NA,9.46,1.6,1,75.8,75.8,7930818,1000000,9516.32,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,600362.9,6.74,9.3,899.5,6.351,9.067,22.151,13.28,1.803,5.506,0.888,0.084,0.88,0.93,1.55,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1824,600362.9,,75.8,75.7,71.33,70.21,,70.96,2625.29,2625.29,488230,6455.8,75.8,75.7,75.8,75.7,76.2,75,6455.8,75.63,48.83,494395900,53079570,59024670,14.05,343227600,1000,11,10.3,NA,NA,9.44,1.6,1,75.7,75.7,7930818,1000000,9526.11,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,609879.8,6.63,9.4,913.7,6.351,9.067,22.492,13.484,1.83,5.42,0.888,0.084,0.88,0.93,1.575,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1825,609879.8,,76.9,76.7,71.99,70.96,,70.96,2666.91,2666.91,444148,5798.9,75.8,76.9,76.9,76.7,76.9,75.8,5798.9,76.59,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.1,10.5,NA,NA,9.59,1.62,1,76.9,76.9,7930818,1000000,9802.13,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
,610673,6.62,9.4,914.9,6.351,9.067,22.521,13.501,1.833,5.413,0.888,0.084,0.88,0.93,1.577,1,NA,NA,NA,5.1,NA,NA,NA,NA,8.17,,0.1826,610673,,77,76.9,72.08,71.05,,71.05,2670.38,2670.38,416886,5438.9,75.9,77,77,76.9,77,75.9,5438.9,76.65,48.83,494395900,53079570,59024670,14.05,343227600,1000,11.1,10.5,NA,NA,9.6,1.63,1,77,77,7930818,1000000,9844.74,74,,2524125,49040842,210274541,49040842,93834337,63310432,,42231392,81791547,128482994,58721996,100953388,7119161,,79308216,0,445626988,63579923,54564940,1860619,,40399354,40399354,0,-34156908,984342,333061560,,18853939,16185714,193145,0,29364483,1787202,,,34150863,198301,NA,61525186,8866335,,52746021,0,39654108,63248655,79434369,52746021,,,7.34,6.91
