PRICE,MARKET VALUE,DIVIDEND YIELD,PER,PRICE INDEX,12M FWD DIVIDEND YIELD (%),12 MONTH FORWARD EARN. YIELD,CURRENT EV / 12M FWD EBIT,CURRENT EV / 12M FWD EBITDA,CURRENT EV / 12M FWD SALES,12M FWD FREE CASH FLOW YLD (%),12M FWD NET DEBT / EBITDA,12M FWD NET DEBT / EV,12M FWD PE vs MARKET,12M FWD PE vs SECTOR,12M FWD PRICE/BOOK,ADJUSTMENTFACTOR,ADJUST COEFFICIENT,DIV PAY DATE,EX-DIVID DATE,DIV.PER SHR.,DIV RATE UNADJUST,DIVIDEND TAX IND,DIVIDEND TYPE,DIV RATE UNADJUST,EARNINGS PER SHR,#ERROR,HISTORICAL VOLATILITY 5 YEARS,MARKET VAL BY CO.,#ERROR,ASK PRICE,BID PRICE,PRICE HIGH,PRICE LOW,#ERROR,OPENING PRICE,RETURN IND AS PAID,TOT RETURN IND,TURNOVER BY VALUE,TURNOVER BY VOLUME,UNADJ. PRICE OPEN,UNADJUSTED PRICE,UNADJ. ASK PRICE,UNADJ. BID PRICE,UNADJ. PRICE HIGH,UNADJ. PRICE LOW,UNADJ. VOLUME,VOL WGHTD AV PRICE,BK VAL PS 12M FWD,EV 12M FWD,NET INCOME 12M FWD,PRETAX PRF 12M FWD,ROE 12M FWD,SALES 12M FWD,TURNOVER BY VOLUME,#ERROR,#ERROR,PRICE/EBG2 RATIO,PRICE/EBG1 RATIO,P/CSH FLOW RATIO,PRICE TO BOOK VAL,, (#S), (#T),NUMBER OF SHARES,MARKET VALUE,PRICE INDEX,FREE FLOAT NOSH,#ERROR,TOTAL INTANGIBLE OT ASSETS-NET,TOTAL INVENTORIES,CURRENT ASSETSTOTAL,TOTAL INVENTORIES,CASH & SHORT TERM INVESTMENTS,PLASTICRECEIVABLES(NET),#ERROR,PLASTICSHORT TERM DEBT & CURRENT PORT,PLASTICCURRENT LIABILITIES-TOTAL,PLASTICWORKING CAPITAL,PLASTICLONG TERM DEBT,PLASTICTOTAL DEBT,PLASTICDEFERRED TAXES,#ERROR,PLASTICCOMMON STOCK,PLASTICPREFERRED STOCK,PLASTICTOTAL CAPITAL,PLASTICFUNDS FROM OPERATIONS,PLASTICNET CASH FLOW-OPERATING ACTIVS,PLASTICAMORTIZATION-INTANGIBLE ASSETS,#ERROR,PLASTICCOMMON DIVIDENDS (CASH),PLASTICCASH DIVIDENDS PAIDTOTAL,PLASTICNET PROCEEDS FROM SALE/ISSUE C,PLASTICNET CASH FLOWFINANCING,PLASTICINCREASE/DECREASE IN CASH/SHOR,PLASTICNET SALES OR REVENUES,#ERROR,"PLASTICSELLING, GENERAL & ADMINISTRAT",PLASTICDEPRECIATION/DEPLETION/AMORT,PLASTICAMORTIZATION OF INTANGIBLES,PLASTICAMORTIZATION OF DEFERRED CHARG,PLASTICOPERATING INCOME,PLASTICINTEREST EXPENSE ON DEBT,#ERROR,#ERROR,PLASTICSALARIES & BENEFITS EXPENSES,PLASTICEXTRAORDINARY CREDITPRETAX,PLASTICEXTRAORDINARY CHARGEPRETAX,PLASTICPRETAX INCOME,PLASTICINCOME TAXES,#ERROR,PLASTICNET INC BEFORE EXTRA/PFD DIVS,PLASTICPREFERRED DIVIDEND REQUIREMENT,PLASTICDIVIDENDS PROVIDED/PAID-COMMON,PLASTICEARNINGS BEF INTEREST & TAXES,PLASTICEBIT & DEPRECIATION,PLASTICNET INCOMEBASIC,#ERROR,PLASTICEMPLOYEES,PLASTICFY1 EPS MEAN EST,PLASTICFY2 EPS MEAN EST
60.22,574984.3,4.55,21,861.4,4.23,6.229,34.185,16.765,1.94,4.602,0.924,0.079,1.23,1.02,1.666,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2394,574984.3,,72.5,72.4,61.88,59.89,,60.22,2232.85,2232.85,1223175,16763.2,72.5,72.5,72.5,72.4,74.5,72.1,16763.2,72.97,43.52,416448500,31447280,37628140,9.2,307258400,1000,,,NA,NA,13.3,1.7,1,72.5,72.5,7930818,1000000,9349.94,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.43,3.98
60.13,574191.2,4.56,21,860.3,4.23,6.229,34.14,16.743,1.938,4.609,0.924,0.079,1.23,1.02,1.664,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2393,574191.2,,72.4,72.3,60.22,59.3,,59.47,2229.77,2229.77,925199,12817.7,71.6,72.4,72.4,72.3,72.5,71.4,12817.7,72.18,43.52,416448500,31447280,37628140,9.2,307258400,1000,,,NA,NA,13.28,1.7,1,72.4,72.4,7930818,1000000,9382.14,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.43,3.98
59.64,569432.8,4.6,20.8,853.1,4.23,6.229,33.867,16.609,1.922,4.647,0.924,0.079,1.23,1.02,1.65,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2392,569432.8,,71.8,71.7,59.97,59.55,,59.89,2211.29,2211.29,722721,10036.3,72.1,71.8,71.8,71.7,72.2,71.7,10036.3,72.01,43.52,416448500,31447280,37628140,9.2,307258400,1000,,,NA,NA,13.17,1.68,1,71.8,71.8,7930818,1000000,9368.52,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.43,3.98
58.06,554364.1,4.72,20.3,830.6,3.826,5.511,32.482,16.051,1.865,3.448,0.908,0.075,1.33,1.08,1.6,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2388,554364.1,,70,69.9,59.22,58.06,,59.14,2152.78,2152.78,1100785,15617.6,71.2,69.9,70,69.9,71.3,69.9,15617.6,70.49,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,12.82,1.64,1,69.9,69.9,7930818,1000000,9360.35,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
59.72,570225.8,4.59,20.9,854.3,3.826,5.511,33.377,16.493,1.916,3.352,0.908,0.075,1.33,1.08,1.646,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2385,570225.8,,71.9,71.8,59.89,58.47,,58.56,2214.37,2214.37,1175354,16429,70.5,71.9,71.9,71.8,72.1,70.4,16429,71.54,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.19,1.68,1,71.9,71.9,7930818,1000000,9326.78,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
60.22,574984.3,4.55,21,861.4,3.826,5.511,33.646,16.626,1.931,3.324,0.908,0.075,1.33,1.08,1.659,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2384,574984.3,,72.5,72.4,60.38,59.22,,59.72,2232.85,2232.85,657780,9093.3,71.9,72.5,72.5,72.4,72.7,71.3,9093.3,72.34,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.3,1.7,1,72.5,72.5,7930818,1000000,9239.32,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
60.22,574984.3,4.55,21,861.4,3.826,5.511,33.646,16.626,1.931,3.324,0.908,0.075,1.33,1.08,1.659,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2385,574984.3,,72.5,72.4,60.38,60.05,,60.22,2232.85,2232.85,456905,6301.3,72.5,72.5,72.5,72.4,72.7,72.3,6301.3,72.51,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.3,1.7,1,72.5,72.5,7930818,1000000,9242.41,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
60.38,576570.4,4.54,21.1,863.8,3.826,5.511,33.735,16.67,1.937,3.315,0.908,0.075,1.33,1.08,1.664,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2386,576570.4,,72.8,72.7,60.63,60.22,,60.3,2239.01,2239.01,375001,5150.6,72.6,72.7,72.8,72.7,73,72.5,5150.6,72.81,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.33,1.7,1,72.7,72.7,7930818,1000000,9204.26,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
59.14,564674.2,4.63,20.7,846,3.826,5.511,33.064,16.338,1.898,3.385,0.908,0.075,1.33,1.08,1.63,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2387,564674.2,,71.4,71.2,60.38,59.14,,60.38,2192.81,2192.81,397012,5551.9,72.7,71.2,71.4,71.2,72.7,71.2,5551.9,71.51,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,13.06,1.67,1,71.2,71.2,7930818,1000000,9118.75,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
58.47,558329.6,4.69,20.4,836.5,3.826,5.511,32.706,16.161,1.878,3.423,0.908,0.075,1.33,1.08,1.611,1,NA,NA,NA,3.3,NA,NA,NA,NA,3.45,,0.2387,558329.6,,70.4,70.3,59.14,58.31,,58.56,2168.18,2168.18,622390,8822,70.5,70.4,70.4,70.3,71.2,70.2,8822,70.55,43.69,435895600,31354460,37447460,9.13,308688600,1000,,,NA,NA,12.91,1.65,1,70.4,70.4,7930818,1000000,9078.64,68,,2958086,35385614,217478209,35385614,103013833,74542216,,46443570,84918274,132559935,65223286,111666856,3611078,,79308216,0,416256752,43245020,46386609,1781572,,25133161,25133161,0,-27129710,5500191,275294431,,17151497,16047801,24143,0,13282862,1700440,,,32168898,NA,810120,53846991,5133968,,48840267,0,35688697,55420249,71468050,48840267,,NA,4.51,3.99
